m_W,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.0,0.0,3.36,7.295,6.369999999999999,5.357000000000003,6.866,5.611999999999998,6.634999999999998,5.472000000000001,7.481999999999999,5.876000000000005,6.790999999999997,5.456999999999994,6.167000000000002,7.9950000000000045,3.6239999999999952,5.3870000000000005,5.1299999999999955,4.529000000000011,6.616,4.381,5.359999999999999,4.170000000000016,6.096000000000004,3.1820000000000164
1,0.0,7.1928,7.1229,6.108699999999999,6.552500000000002,5.606299999999997,6.781800000000004,6.092799999999997,6.5319,7.175600000000003,6.4853999999999985,6.185699999999997,6.636200000000002,6.153000000000006,5.990199999999987,6.281700000000001,7.049600000000012,5.923299999999998,7.09129999999999,5.4658000000000015,7.205500000000015,5.60929999999999,6.325700000000012,5.253299999999996,6.7128999999999905,5.164199999999994
2,15.253,4.920999999999999,5.836300000000001,5.669499999999999,6.412199999999999,5.651900000000005,7.019299999999994,5.9666,6.755299999999998,6.111500000000007,7.070799999999991,6.010400000000004,6.755200000000002,6.287099999999995,6.221500000000006,6.4148,7.5390000000000015,5.232399999999998,6.141599999999997,6.0523000000000025,6.268100000000004,6.2143999999999835,6.286000000000001,5.6601,6.3385000000000105,6.15379999999999
3,9.225000000000001,6.213699999999999,6.750299999999999,5.7242999999999995,6.558,6.227200000000003,6.2575999999999965,6.586099999999995,6.4054,6.762600000000006,6.849000000000004,6.935000000000002,6.956399999999988,5.176200000000009,6.872799999999998,6.318399999999997,6.314300000000003,6.097499999999997,6.120800000000003,6.198599999999999,6.406800000000004,6.902500000000003,5.889899999999983,5.14670000000001,7.001200000000011,6.4488999999999805
4,4.3969999999999985,5.939,6.680100000000003,6.220499999999994,6.6297,5.945700000000002,6.585099999999997,6.254800000000003,7.353300000000004,6.0398,5.984099999999998,7.219799999999992,6.974300000000014,6.19019999999999,6.214100000000002,5.801099999999991,7.131599999999992,5.875799999999998,6.987499999999983,6.3115999999999985,5.219900000000024,6.5072999999999865,6.2089,6.514999999999986,6.2187000000000126,6.814300000000003
5,6.076999999999998,6.412600000000005,5.829500000000003,6.935999999999993,5.945599999999999,5.14500000000001,6.859100000000012,6.959800000000001,5.838899999999995,5.849099999999993,4.698399999999992,5.83829999999999,5.819200000000009,6.37469999999999,6.170000000000016,6.030899999999974,7.029199999999975,7.469400000000007,6.162599999999998,5.246600000000001,5.681000000000012,7.2520999999999844,7.120999999999981,5.365200000000016,4.733399999999989,8.775100000000009
6,6.564,6.32,7.5042999999999935,5.435100000000006,6.979199999999992,6.118400000000008,6.704999999999998,5.786900000000003,6.091799999999992,6.517099999999999,6.5274,6.560900000000018,6.632800000000003,6.6255999999999915,6.4084,6.211899999999986,6.67410000000001,7.564799999999991,6.144200000000012,5.455299999999994,6.8603999999999985,6.385099999999994,6.668500000000023,5.737299999999976,11.341700000000003,4.4839000000000055
7,6.2010000000000005,6.385400000000004,6.367900000000006,6.845600000000005,5.7771999999999935,6.76100000000001,6.41579999999999,6.474399999999989,6.4422,6.785000000000011,6.1980000000000075,6.814899999999994,7.519299999999987,6.796500000000009,5.245499999999993,6.65870000000001,7.9313999999999965,6.031199999999984,6.684900000000027,5.415099999999995,8.562799999999982,4.502700000000004,7.018000000000001,8.629099999999994,8.076400000000007,2.2177000000000078
8,6.587000000000003,6.276200000000003,5.562200000000004,5.871099999999998,5.984000000000009,5.801299999999998,5.915000000000006,6.409699999999987,6.8097000000000065,6.030699999999996,8.306799999999981,6.246600000000001,6.642300000000006,7.293900000000008,6.1089000000000055,6.1200999999999794,7.122100000000017,6.8947,5.94459999999998,6.893000000000001,6.023900000000026,6.859999999999985,5.993500000000012,8.465699999999998,4.192900000000037,5.309799999999996
9,6.704999999999998,6.5101999999999975,6.071799999999996,5.849400000000003,6.218800000000002,6.339999999999989,6.446300000000008,6.29800000000003,6.4084,7.3405999999999665,6.193200000000019,7.0146000000000015,6.801899999999989,6.697599999999994,7.251500000000021,6.448399999999992,6.424000000000007,7.182699999999983,6.396100000000018,5.697999999999979,7.351300000000009,5.185999999999979,8.5582,4.816200000000009,3.921999999999997,6.321499999999986
10,5.834999999999994,6.011099999999999,5.709599999999995,6.326400000000007,6.344399999999993,6.057700000000011,6.574699999999979,6.559899999999999,6.393500000000017,7.025999999999982,5.947599999999994,6.769999999999982,7.528400000000005,5.629500000000007,7.318299999999994,6.9176000000000215,6.3837999999999795,7.249200000000002,5.933899999999994,6.75660000000002,5.834499999999991,8.735500000000002,4.646500000000003,7.037199999999984,5.632000000000005,6.414699999999982
11,6.188000000000002,6.044300000000007,6.765000000000001,6.561000000000007,6.246600000000001,6.43180000000001,7.112600000000015,6.635699999999986,7.1813000000000216,6.633299999999991,6.447599999999994,6.511300000000006,7.3434999999999775,5.907000000000011,7.268599999999992,6.573200000000014,5.0338999999999885,5.116800000000012,7.334499999999963,3.81880000000001,5.626399999999961,5.342500000000001,8.71629999999999,2.100900000000024,3.142600000000016,3.9676000000000045
