m_W,n_B,formula,E_frag_eV
1,9,WB9,7.175600000000003
1,16,WB16,7.049600000000012
1,18,WB18,7.09129999999999
2,6,W2B6,7.019299999999994
2,8,W2B8,6.755299999999998
2,16,W2B16,7.5390000000000015
3,12,W3B12,6.956399999999988
7,20,W7B20,8.562799999999982
7,24,W7B24,8.076400000000007
8,10,W8B10,8.306799999999981
9,9,W9B9,7.3405999999999665
9,20,W9B20,7.351300000000009
9,22,W9B22,8.5582
10,21,W10B21,8.735500000000002
11,22,W11B22,8.71629999999999
14,19,W14B19,7.786800000000028
16,19,W16B19,7.977100000000007
17,2,W17B2,8.094100000000026
17,14,W17B14,7.199800000000039
17,17,W17B17,7.735500000000002
18,9,W18B9,7.178100000000001
