m_W,n_B,formula,min_d2E_eV,E_frag_eV
1,9,WB9,0.6902000000000044,7.175600000000003
1,16,WB16,0.8826999999999998,7.049600000000012
1,18,WB18,1.6254999999999882,7.09129999999999
2,6,W2B6,1.21159999999999,7.019299999999994
2,8,W2B8,0.6437999999999988,6.755299999999998
2,16,W2B16,1.9726,7.5390000000000015
3,12,W3B12,1.7801999999999794,6.956399999999988
7,20,W7B20,2.8296999999999457,8.562799999999982
7,24,W7B24,2.761699999999962,8.076400000000007
8,10,W8B10,2.2642999999999915,8.306799999999981
9,9,W9B9,1.523999999999944,7.3405999999999665
9,20,W9B20,2.199099999999987,7.351300000000009
9,22,W9B22,3.4519999999999413,8.5582
10,21,W10B21,4.088999999999999,8.735500000000002
11,22,W11B22,7.011700000000019,8.71629999999999
14,19,W14B19,3.1271000000000413,7.786800000000028
16,19,W16B19,1.429399999999987,7.977100000000007
17,2,W17B2,1.89650000000006,8.094100000000026
17,14,W17B14,1.578200000000038,7.199800000000039
17,17,W17B17,2.0631000000000768,7.735500000000002
18,9,W18B9,1.1234000000000037,7.178100000000001
