m_W,n_B,formula,min_d2E_eV
1,9,WB9,0.6902000000000044
1,16,WB16,0.8826999999999998
1,18,WB18,1.6254999999999882
2,6,W2B6,1.21159999999999
2,8,W2B8,0.6437999999999988
2,16,W2B16,1.9726
3,12,W3B12,1.7801999999999794
7,20,W7B20,2.8296999999999457
7,24,W7B24,2.761699999999962
8,10,W8B10,2.2642999999999915
9,9,W9B9,1.523999999999944
9,20,W9B20,2.199099999999987
9,22,W9B22,3.4519999999999413
10,21,W10B21,4.088999999999999
11,22,W11B22,7.011700000000019
14,19,W14B19,3.1271000000000413
16,19,W16B19,1.429399999999987
17,2,W17B2,1.89650000000006
17,14,W17B14,1.578200000000038
17,17,W17B17,2.0631000000000768
18,9,W18B9,1.1234000000000037
