cluster,site_label,anchor_element,E_ads_H_eV,d_H_host_A
W_01_B_09,B1,B,-1.344,1.199
W_01_B_09,B2,B,-1.097,1.195
W_01_B_09,B3,B,-1.097,1.196
W_01_B_09,B4,B,-0.970,1.197
W_01_B_09,W1,W,-1.049,1.762
W_01_B_16,B1,B,-0.617,1.206
W_01_B_16,B2,B,-0.617,1.205
W_01_B_16,W1,W,0.668,1.7
W_01_B_18,B1,B,-0.675,1.198
W_01_B_18,B2,B,-0.674,1.197
W_01_B_18,B3,B,-0.485,1.214
W_01_B_18,B4,B,-0.484,1.214
W_01_B_18,W1,W,0.034,1.669
W_02_B_06,B1,B,-0.957,1.204
W_02_B_06,B2,B,-0.894,1.198
W_02_B_06,B3,B,-0.858,1.207
W_02_B_06,W1,W,-0.888,1.790
W_02_B_08,B1,B,-0.731,1.212
W_02_B_08,W1,W,0.388,1.796
W_02_B_16,B1,B,-0.614,1.201
W_02_B_16,B2,B,-0.199,1.202
W_02_B_16,W1,W,-0.217,1.826
W_03_B_12,B1,B,-0.555,1.206
W_03_B_12,B2,B,-0.233,1.213
W_03_B_12,W1,W,-0.608,1.745
W_07_B_20,B1,B,-0.597,1.199
W_07_B_20,B2,B,-0.529,1.205
W_07_B_20,W1,W,0.475,1.745
W_07_B_20,W2,W,0.487,1.703
W_07_B_24,B1,B,-0.929,1.205
W_07_B_24,B2,B,-0.903,1.205
W_07_B_24,B3,B,-0.885,1.206
W_07_B_24,B4,B,-0.884,1.205
W_07_B_24,B5,B,-0.860,1.207
W_07_B_24,B6,B,-0.855,1.206
W_07_B_24,B7,B,-0.763,1.205
W_07_B_24,B8,B,-0.761,1.204
W_07_B_24,W1,W,-0.745,1.721
W_07_B_24,W2,W,-0.731,1.711
W_07_B_24,W3,W,-0.730,1.711
W_08_B_10,B1,B,-0.785,1.220
W_08_B_10,B2,B,-0.735,1.242
W_08_B_10,B3,B,-0.394,1.256
W_08_B_10,B4,B,-0.295,1.279
W_08_B_10,B5,B,-0.093,1.234
W_08_B_10,W1,W,-0.756,1.779
W_08_B_10,W2,W,-0.711,1.779
W_08_B_10,W3,W,-0.532,1.754
W_08_B_10,W4,W,-0.436,1.737
W_09_B_09,B1,B,-0.884,1.268
W_09_B_09,B2,B,-0.720,1.252
W_09_B_09,B3,B,-0.647,1.219
W_09_B_09,B4,B,-0.620,1.252
W_09_B_09,B5,B,-0.617,1.268
W_09_B_09,B6,B,-0.580,1.260
W_09_B_09,B7,B,-0.574,1.272
W_09_B_09,B8,B,-0.524,1.276
W_09_B_09,B9,B,-0.398,1.284
W_09_B_09,W1,W,-0.980,1.799
W_09_B_09,W2,W,-0.862,1.842
W_09_B_09,W3,W,-0.677,1.782
W_09_B_09,W4,W,-0.671,1.778
W_09_B_09,W5,W,-0.627,1.783
W_09_B_09,W6,W,-0.394,1.785
W_09_B_09,W7,W,-0.387,1.739
W_09_B_09,W8,W,-0.276,1.738
W_09_B_09,W9,W,-0.268,1.743
W_09_B_20,B1,B,-0.950,1.932
W_09_B_20,B2,B,-0.849,1.210
W_09_B_20,B3,B,-0.698,1.207
W_09_B_20,B4,B,-0.668,1.209
W_09_B_20,B5,B,-0.641,1.911
W_09_B_20,B6,B,-0.638,1.215
W_09_B_20,B7,B,-0.632,1.209
W_09_B_20,B8,B,-0.626,1.212
W_09_B_20,B9,B,-0.623,1.207
W_09_B_20,B10,B,-0.582,1.218
W_09_B_20,B11,B,-0.547,1.208
W_09_B_20,B12,B,-0.529,1.224
W_09_B_20,B13,B,-0.428,1.227
W_09_B_20,B14,B,-0.419,1.214
W_09_B_20,B15,B,-0.414,1.227
W_09_B_20,B16,B,-0.315,1.320
W_09_B_20,B17,B,-0.315,1.370
W_09_B_20,B18,B,-0.178,1.233
W_09_B_20,W1,W,-0.985,1.781
W_09_B_20,W2,W,-0.950,1.930
W_09_B_20,W3,W,-0.916,1.781
W_09_B_20,W4,W,-0.901,1.776
W_09_B_20,W5,W,-0.786,1.751
W_09_B_20,W6,W,-0.578,1.774
W_09_B_20,W7,W,-0.548,1.763
W_09_B_20,W8,W,-0.508,1.761
W_09_B_22,B1,B,-1.245,1.206
W_09_B_22,B2,B,-0.941,1.206
W_09_B_22,B3,B,-0.908,1.208
W_09_B_22,B4,B,-0.895,1.212
W_09_B_22,B5,B,-0.858,1.207
W_09_B_22,B6,B,-0.857,1.207
W_09_B_22,B7,B,-0.815,1.209
W_09_B_22,B8,B,-0.800,1.296
W_09_B_22,B9,B,-0.784,1.207
W_09_B_22,B10,B,-0.706,1.212
W_09_B_22,B11,B,-0.683,1.220
W_09_B_22,B12,B,-0.640,1.209
W_09_B_22,B13,B,-0.592,1.209
W_09_B_22,B14,B,-0.559,1.219
W_09_B_22,B15,B,-0.519,1.208
W_09_B_22,B16,B,-0.442,1.217
W_09_B_22,B17,B,-0.432,1.205
W_09_B_22,B18,B,-0.429,1.208
W_09_B_22,B19,B,-0.388,1.215
W_09_B_22,B20,B,-0.366,1.208
W_09_B_22,B21,B,-0.307,1.217
W_09_B_22,B22,B,-0.175,1.230
