cluster,site_id,E_total_eV,E_ads_NH3_eV,d_N_W_min_A,d_N_H_mean_A,angle_HNH_mean_deg
W_01_B_09,0,-78.908285,-1.55304,2.266424,1.026055,107.227566
W_01_B_16,0,-121.63856,-0.701337,2.404431,1.022593,108.043876
W_01_B_18,0,-135.13205,-1.374437,2.280965,1.022873,109.079915
W_02_B_06,0,-71.318589,-1.72089,2.250207,1.027563,107.8865
W_02_B_06,1,-71.13104,-1.533341,2.297529,1.025805,107.328065
W_02_B_08,0,-83.53196,-1.264062,2.391771,1.02442,107.454426
W_02_B_16,0,-133.89815,-0.541857,2.53314,1.020146,109.309971
W_02_B_16,1,-134.53626,-1.179967,2.412994,1.024248,106.893572
W_03_B_12,0,-121.32321,-1.763367,2.254805,1.023707,107.993304
W_07_B_20,0,-217.86153,-1.607087,2.241208,1.023556,109.048152
W_07_B_20,1,-217.66036,-1.405917,2.282318,1.023579,108.330522
W_07_B_24,0,-244.08067,-1.253227,2.272669,1.023136,107.404256
W_08_B_10,0,-163.00442,-1.594387,2.263594,1.025766,107.352083
W_08_B_10,1,-162.99051,-1.580477,2.26374,1.025308,107.39638
W_08_B_10,2,-162.68725,-1.277217,2.268169,1.022218,109.121624
W_08_B_10,3,-162.67678,-1.266747,2.279729,1.022296,108.947511
W_09_B_09,0,-166.43764,-1.508617,2.268624,1.025522,107.430487
W_09_B_09,1,-166.52948,-1.600457,2.261191,1.025669,107.508133
W_09_B_09,2,-166.50031,-1.571287,2.27338,1.025021,107.728537
W_09_B_09,3,-166.47444,-1.545417,2.266268,1.02535,107.639065
W_09_B_09,4,-166.25726,-1.328237,2.292673,1.025835,107.393641
W_09_B_09,5,-166.16632,-1.237297,2.268381,1.022392,109.080361
W_09_B_09,6,-166.10414,-1.175117,2.282392,1.022621,108.919568
W_09_B_09,7,-166.11061,-1.181587,2.290908,1.022344,109.156517
W_09_B_09,8,-166.15893,-1.229907,2.262283,1.02236,109.00051
W_09_B_20,0,-239.18124,-1.571767,2.273432,1.023939,107.66578
W_09_B_20,1,-239.25875,-1.649277,2.273507,1.023819,107.719812
W_09_B_20,2,-239.17869,-1.569217,2.278289,1.024778,107.447766
W_09_B_20,3,-238.94725,-1.337777,2.298446,1.022928,107.776324
W_09_B_20,4,-239.1403,-1.530827,2.270866,1.023371,107.62553
W_09_B_20,5,-239.05175,-1.442277,2.306026,1.023258,107.470016
W_09_B_20,6,-238.98664,-1.377167,2.295816,1.023157,107.656546
W_09_B_20,7,-238.86019,-1.250717,2.324592,1.023993,107.272624
W_09_B_22,0,-252.38338,-1.428547,2.262713,1.023787,107.988812
W_09_B_22,3,-252.37911,-1.424277,2.281137,1.023826,107.948855
W_09_B_22,4,-252.42174,-1.466907,2.287592,1.024672,107.329734
W_09_B_22,5,-252.29202,-1.337187,2.283804,1.023693,107.657159
W_09_B_22,6,-252.40047,-1.445637,2.262708,1.023824,107.553622
W_10_B_21,1,-257.26356,-1.289807,2.308942,1.024,107.688474
W_10_B_21,2,-257.38477,-1.411017,2.274233,1.023746,107.532925
W_10_B_21,3,-257.18595,-1.212197,2.286962,1.023905,107.450213
W_10_B_21,4,-257.58925,-1.615497,2.240102,1.024538,108.057595
W_10_B_21,5,-257.6426,-1.668847,2.257139,1.023744,108.054822
W_10_B_21,6,-257.18995,-1.216197,2.335963,1.024489,107.30821
