cluster,site_label,anchor_element,E_ads_NH3_eV,d_NH3_host_A
W_01_B_09,B1,B,-1.484976,1.595194
W_01_B_09,B2,B,-1.5282,1.604748
W_01_B_09,B4,B,-1.535102,1.601978
W_01_B_09,B5,B,-1.542813,1.602836
W_01_B_09,B9,B,-1.183565,1.607943
W_01_B_09,W1,W,-1.55304,2.266424
W_01_B_16,B1,B,-1.040537,1.63384
W_01_B_16,W1,W,-0.701337,2.404431
W_01_B_18,B1,B,-1.418818,1.613924
W_01_B_18,B2,B,-1.414562,1.616011
W_01_B_18,B3,B,-1.41661,1.613655
W_01_B_18,B4,B,-1.004057,1.647224
W_01_B_18,B8,B,-1.409141,1.617403
W_01_B_18,W1,W,-1.374437,2.280965
W_02_B_06,B1,B,-0.580267,1.645078
W_02_B_06,B2,B,-0.800861,1.630948
W_02_B_06,B3,B,-1.029946,1.624701
W_02_B_06,B6,B,-1.232802,1.625392
W_02_B_06,W1,W,-1.72089,2.250207
W_02_B_06,W2,W,-1.533341,2.297529
W_02_B_08,B1,B,-1.271985,1.620562
W_02_B_08,W1,W,-1.264062,2.391771
W_02_B_16,B1,B,-1.013529,1.642326
W_02_B_16,B2,B,-0.555581,1.643962
W_02_B_16,W1,W,-0.541857,2.53314
W_02_B_16,W2,W,-1.179967,2.412994
W_03_B_12,B1,B,-0.614428,1.665824
W_03_B_12,B7,B,-1.244968,1.6266
W_03_B_12,W1,W,-1.763367,2.254805
W_07_B_20,B1,B,-1.070717,1.598571
W_07_B_20,B6,B,-1.207463,1.622526
W_07_B_20,W1,W,-1.607087,2.241208
W_07_B_20,W2,W,-1.405917,2.282318
W_07_B_24,B1,B,-0.894161,1.643358
W_07_B_24,B2,B,-0.957777,1.638303
W_07_B_24,B3,B,-0.812308,1.647377
W_07_B_24,B4,B,-0.891257,1.64914
W_07_B_24,B13,B,-0.899471,1.644198
W_07_B_24,B14,B,-0.889304,1.644662
W_07_B_24,W1,W,-1.253227,2.272669
W_08_B_10,B1,B,-0.447652,1.653651
W_08_B_10,B2,B,-0.655175,1.659612
W_08_B_10,B9,B,0.622878,1.704632
W_08_B_10,B10,B,0.306279,1.760358
W_08_B_10,W1,W,-1.594387,2.263594
W_08_B_10,W2,W,-1.580477,2.26374
W_08_B_10,W3,W,-1.277217,2.268169
W_08_B_10,W4,W,-1.266747,2.279729
W_09_B_09,B1,B,-0.458152,1.666756
W_09_B_09,B2,B,-0.609257,1.654423
W_09_B_09,B3,B,-0.51752,1.675554
W_09_B_09,B4,B,-0.545145,1.65479
W_09_B_09,B5,B,-0.655378,1.649734
W_09_B_09,B6,B,0.001411,1.7227
W_09_B_09,B7,B,-0.313177,1.673929
W_09_B_09,B8,B,0.264578,1.689817
W_09_B_09,B9,B,0.578238,1.698346
W_09_B_09,W1,W,-1.508617,2.268624
W_09_B_09,W2,W,-1.600457,2.261191
W_09_B_09,W3,W,-1.571287,2.27338
W_09_B_09,W4,W,-1.545417,2.266268
W_09_B_09,W5,W,-1.328237,2.292673
W_09_B_09,W6,W,-1.237297,2.268381
W_09_B_09,W7,W,-1.175117,2.282392
W_09_B_09,W8,W,-1.181587,2.290908
W_09_B_09,W9,W,-1.229907,2.262283
W_09_B_20,B1,B,-0.616767,1.667922
