Cluster,N_initial_states,N_pathways,N_H_on_B,N_H_on_W,E_act_fwd_mean (eV),E_act_fwd_SD (eV),E_act_fwd_min (eV),E_act_fwd_max (eV),E_act_rev_mean (eV),Delta_E_min (eV),Delta_E_max (eV)
W_01_B_09,1,1,1,0,1.399882,,1.399882,1.399882,2.959737,-1.559854,-1.559854
W_01_B_16,1,1,1,0,1.906046,,1.906046,1.906046,3.007782,-1.101736,-1.101736
W_01_B_18,1,1,1,0,1.834873,,1.834873,1.834873,1.615527,0.219346,0.219346
W_02_B_06,1,1,1,0,1.770830,,1.770830,1.770830,2.791653,-1.020823,-1.020823
W_02_B_08,1,1,1,0,1.608436,,1.608436,1.608436,1.987164,-0.378727,-0.378727
W_02_B_16,1,1,1,0,3.016800,,3.016800,3.016800,1.217935,1.798865,1.798865
W_03_B_12,1,1,1,0,1.448571,,1.448571,1.448571,1.496340,-0.047769,-0.047769
W_07_B_20,1,1,1,0,1.734826,,1.734826,1.734826,1.365323,0.369503,0.369503
W_08_B_10,4,7,7,0,1.215625,0.174763,0.966189,1.401577,1.865331,-0.976420,-0.214433
W_09_B_09,5,6,6,0,1.147560,0.245060,0.740259,1.414979,1.625785,-0.999662,0.021741
W_09_B_20,6,11,11,0,1.366776,0.281888,0.937251,1.740185,1.913637,-0.945147,-0.068846
W_09_B_22,4,4,4,0,1.213802,0.286434,0.925406,1.604380,1.857176,-1.094887,-0.305494
W_10_B_21,3,3,3,0,1.318180,0.268468,1.036162,1.570652,2.065895,-1.037394,-0.529018
W_11_B_22,2,2,2,0,1.451113,0.531050,1.075604,1.826622,1.683152,-0.421521,-0.042558
W_14_B_19,3,4,4,0,1.275077,0.272230,0.904999,1.536626,1.532753,-0.452984,0.000961
W_16_B_19,4,7,7,0,1.128222,0.331729,0.695843,1.530009,1.433869,-0.548006,0.101543
W_17_B_02,5,7,4,3,1.081535,0.268903,0.785281,1.480826,1.379715,-0.550258,-0.013325
W_17_B_14,10,17,16,1,1.170100,0.252462,0.654661,1.573691,1.708768,-1.031078,-0.164520
W_17_B_17,9,20,20,0,1.369778,0.396360,0.654682,2.266039,1.502315,-0.908173,0.603652
W_18_B_09,9,12,11,1,1.139040,0.350819,0.402167,1.540998,1.531512,-1.314510,0.233945
