Cluster,W,B,Structure_ID,Pathway_ID,N_images,TS_image,E_IS (eV),E_FS (eV),E_TS (eV),E_act_fwd (eV),E_act_rev (eV),Delta_E (eV),Transferred_H,Initial_NH3_W_anchor,Final_H_anchor,Final_anchor_element,Final_anchor_rank_initial_excluding_binding_W,Transferred_H_is_closest_H_to_final_anchor_initially,d_H_anchor_initial (A),d_H_anchor_final (A),d_bindingW_anchor_initial (A),Trajectory_file
W_01_B_09,1,9,0,0,10,3,-78.921000,-80.480854,-77.521118,1.399882,2.959737,-1.559854,H3,W1,B8,B,3,yes,4.163633,1.195510,2.194093,W_01_B_09_0_0_movie_contcar.xyz
W_01_B_16,1,16,0,0,10,4,-121.640000,-122.741736,-119.733954,1.906046,3.007782,-1.101736,H2,W1,B11,B,2,yes,2.711757,1.194005,2.245793,W_01_B_16_0_0_movie_contcar.xyz
W_01_B_18,1,18,0,0,10,4,-135.134000,-134.914654,-133.299127,1.834873,1.615527,0.219346,H2,W1,B4,B,3,yes,2.751458,1.214298,2.391238,W_01_B_18_0_0_movie_contcar.xyz
W_02_B_06,2,6,1,0,10,3,-71.139000,-72.159823,-69.368170,1.770830,2.791653,-1.020823,H2,W2,B1,B,1,yes,4.242515,1.207440,2.078756,W_02_B_06_1_0_movie_contcar.xyz
W_02_B_08,2,8,0,0,10,3,-83.533000,-83.911727,-81.924564,1.608436,1.987164,-0.378727,H3,W1,B1,B,4,no,4.434688,1.211121,2.357652,W_02_B_08_0_0_movie_contcar.xyz
W_02_B_16,2,16,0,0,10,4,-133.898000,-132.099135,-130.881200,3.016800,1.217935,1.798865,H3,W1,B10,B,3,yes,3.102029,1.197585,2.257530,W_02_B_16_0_0_movie_contcar.xyz
W_03_B_12,3,12,0,0,10,4,-121.327000,-121.374769,-119.878429,1.448571,1.496340,-0.047769,H3,W1,B7,B,2,yes,3.512951,1.204213,2.231381,W_03_B_12_0_0_movie_contcar.xyz
W_07_B_20,7,20,1,0,10,4,-217.665000,-217.295497,-215.930174,1.734826,1.365323,0.369503,H3,W3,B10,B,1,no,3.232806,1.203339,2.317431,W_07_B_20_1_0_movie_contcar.xyz
W_08_B_10,8,10,0,0,10,3,-163.008000,-163.984420,-161.780719,1.227281,2.203702,-0.976420,H2,W1,B3,B,1,no,3.960409,1.210101,2.058303,W_08_B_10_0_0_movie_contcar.xyz
W_08_B_10,8,10,1,0,10,3,-162.993000,-163.742423,-161.621643,1.371357,2.120780,-0.749423,H1,W2,B9,B,2,yes,4.009136,1.272694,2.060727,W_08_B_10_1_0_movie_contcar.xyz
